ID_date,date_name,date_of_week,quarter,holiday,holiday_name,season,week_num,year,month,day
20000705,2000-07-05,Wednesday,3,Y,Saints Cyril and Methodius Day,Léto,27,2000,7,5
20000706,2000-07-06,Thursday,3,Y,Jan Hus Day,Léto,27,2000,7,6
20000707,2000-07-07,Friday,3,N,,Léto,27,2000,7,7
20000708,2000-07-08,Saturday,3,N,,Léto,27,2000,7,8
20000709,2000-07-09,Sunday,3,N,,Léto,27,2000,7,9
20000710,2000-07-10,Monday,3,N,,Léto,28,2000,7,10
20000711,2000-07-11,Tuesday,3,N,,Léto,28,2000,7,11
20000712,2000-07-12,Wednesday,3,N,,Léto,28,2000,7,12
20000713,2000-07-13,Thursday,3,N,,Léto,28,2000,7,13
20000714,2000-07-14,Friday,3,N,,Léto,28,2000,7,14
20000715,2000-07-15,Saturday,3,N,,Léto,28,2000,7,15
20000716,2000-07-16,Sunday,3,N,,Léto,28,2000,7,16
20000717,2000-07-17,Monday,3,N,,Léto,29,2000,7,17
20000718,2000-07-18,Tuesday,3,N,,Léto,29,2000,7,18
20000719,2000-07-19,Wednesday,3,N,,Léto,29,2000,7,19
20000720,2000-07-20,Thursday,3,N,,Léto,29,2000,7,20
20000721,2000-07-21,Friday,3,N,,Léto,29,2000,7,21
20000722,2000-07-22,Saturday,3,N,,Léto,29,2000,7,22
20000723,2000-07-23,Sunday,3,N,,Léto,29,2000,7,23
20000724,2000-07-24,Monday,3,N,,Léto,30,2000,7,24
20000725,2000-07-25,Tuesday,3,N,,Léto,30,2000,7,25
20000726,2000-07-26,Wednesday,3,N,,Léto,30,2000,7,26
20000727,2000-07-27,Thursday,3,N,,Léto,30,2000,7,27
20000728,2000-07-28,Friday,3,N,,Léto,30,2000,7,28
20000729,2000-07-29,Saturday,3,N,,Léto,30,2000,7,29
20000730,2000-07-30,Sunday,3,N,,Léto,30,2000,7,30
20000731,2000-07-31,Monday,3,N,,Léto,31,2000,7,31
20000801,2000-08-01,Tuesday,3,N,,Léto,31,2000,8,1
20000802,2000-08-02,Wednesday,3,N,,Léto,31,2000,8,2
20000803,2000-08-03,Thursday,3,N,,Léto,31,2000,8,3
20000804,2000-08-04,Friday,3,N,,Léto,31,2000,8,4
20000805,2000-08-05,Saturday,3,N,,Léto,31,2000,8,5
20000806,2000-08-06,Sunday,3,N,,Léto,31,2000,8,6
20000807,2000-08-07,Monday,3,N,,Léto,32,2000,8,7
20000808,2000-08-08,Tuesday,3,N,,Léto,32,2000,8,8
20000809,2000-08-09,Wednesday,3,N,,Léto,32,2000,8,9
20000810,2000-08-10,Thursday,3,N,,Léto,32,2000,8,10
20000811,2000-08-11,Friday,3,N,,Léto,32,2000,8,11
20000812,2000-08-12,Saturday,3,N,,Léto,32,2000,8,12
20000813,2000-08-13,Sunday,3,N,,Léto,32,2000,8,13
20000814,2000-08-14,Monday,3,N,,Léto,33,2000,8,14
20000815,2000-08-15,Tuesday,3,N,,Léto,33,2000,8,15
20000816,2000-08-16,Wednesday,3,N,,Léto,33,2000,8,16
20000817,2000-08-17,Thursday,3,N,,Léto,33,2000,8,17
20000818,2000-08-18,Friday,3,N,,Léto,33,2000,8,18
20000819,2000-08-19,Saturday,3,N,,Léto,33,2000,8,19
20000820,2000-08-20,Sunday,3,N,,Léto,33,2000,8,20
20000821,2000-08-21,Monday,3,N,,Léto,34,2000,8,21
20000822,2000-08-22,Tuesday,3,N,,Léto,34,2000,8,22
20000823,2000-08-23,Wednesday,3,N,,Léto,34,2000,8,23
20000824,2000-08-24,Thursday,3,N,,Léto,34,2000,8,24
20000825,2000-08-25,Friday,3,N,,Léto,34,2000,8,25
20000826,2000-08-26,Saturday,3,N,,Léto,34,2000,8,26
20000827,2000-08-27,Sunday,3,N,,Léto,34,2000,8,27
20000828,2000-08-28,Monday,3,N,,Léto,35,2000,8,28
20000829,2000-08-29,Tuesday,3,N,,Léto,35,2000,8,29
20000830,2000-08-30,Wednesday,3,N,,Léto,35,2000,8,30
20000831,2000-08-31,Thursday,3,N,,Léto,35,2000,8,31
20000901,2000-09-01,Friday,3,N,,Podzim,35,2000,9,1
20000902,2000-09-02,Saturday,3,N,,Podzim,35,2000,9,2
20000903,2000-09-03,Sunday,3,N,,Podzim,35,2000,9,3
20000904,2000-09-04,Monday,3,N,,Podzim,36,2000,9,4
20000905,2000-09-05,Tuesday,3,N,,Podzim,36,2000,9,5
20000906,2000-09-06,Wednesday,3,N,,Podzim,36,2000,9,6
20000907,2000-09-07,Thursday,3,N,,Podzim,36,2000,9,7
20000908,2000-09-08,Friday,3,N,,Podzim,36,2000,9,8
20000909,2000-09-09,Saturday,3,N,,Podzim,36,2000,9,9
20000910,2000-09-10,Sunday,3,N,,Podzim,36,2000,9,10
20000911,2000-09-11,Monday,3,N,,Podzim,37,2000,9,11
20000912,2000-09-12,Tuesday,3,N,,Podzim,37,2000,9,12
20000913,2000-09-13,Wednesday,3,N,,Podzim,37,2000,9,13
20000914,2000-09-14,Thursday,3,N,,Podzim,37,2000,9,14
20000915,2000-09-15,Friday,3,N,,Podzim,37,2000,9,15
20000916,2000-09-16,Saturday,3,N,,Podzim,37,2000,9,16
20000917,2000-09-17,Sunday,3,N,,Podzim,37,2000,9,17
20000918,2000-09-18,Monday,3,N,,Podzim,38,2000,9,18
20000919,2000-09-19,Tuesday,3,N,,Podzim,38,2000,9,19
20000920,2000-09-20,Wednesday,3,N,,Podzim,38,2000,9,20
20000921,2000-09-21,Thursday,3,N,,Podzim,38,2000,9,21
20000922,2000-09-22,Friday,3,N,,Podzim,38,2000,9,22
20000923,2000-09-23,Saturday,3,N,,Podzim,38,2000,9,23
20000924,2000-09-24,Sunday,3,N,,Podzim,38,2000,9,24
20000925,2000-09-25,Monday,3,N,,Podzim,39,2000,9,25
20000926,2000-09-26,Tuesday,3,N,,Podzim,39,2000,9,26
20000927,2000-09-27,Wednesday,3,N,,Podzim,39,2000,9,27
20000928,2000-09-28,Thursday,3,Y,Statehood Day,Podzim,39,2000,9,28
20000929,2000-09-29,Friday,3,N,,Podzim,39,2000,9,29
20000930,2000-09-30,Saturday,3,N,,Podzim,39,2000,9,30
20001001,2000-10-01,Sunday,4,N,,Podzim,39,2000,10,1
20001002,2000-10-02,Monday,4,N,,Podzim,40,2000,10,2
20001003,2000-10-03,Tuesday,4,N,,Podzim,40,2000,10,3
20001004,2000-10-04,Wednesday,4,N,,Podzim,40,2000,10,4
20001005,2000-10-05,Thursday,4,N,,Podzim,40,2000,10,5
20001006,2000-10-06,Friday,4,N,,Podzim,40,2000,10,6
20001007,2000-10-07,Saturday,4,N,,Podzim,40,2000,10,7
20001008,2000-10-08,Sunday,4,N,,Podzim,40,2000,10,8
20001009,2000-10-09,Monday,4,N,,Podzim,41,2000,10,9
20001010,2000-10-10,Tuesday,4,N,,Podzim,41,2000,10,10
20001011,2000-10-11,Wednesday,4,N,,Podzim,41,2000,10,11
20001012,2000-10-12,Thursday,4,N,,Podzim,41,2000,10,12
20001013,2000-10-13,Friday,4,N,,Podzim,41,2000,10,13
20001014,2000-10-14,Saturday,4,N,,Podzim,41,2000,10,14
20001015,2000-10-15,Sunday,4,N,,Podzim,41,2000,10,15
20001016,2000-10-16,Monday,4,N,,Podzim,42,2000,10,16
20001017,2000-10-17,Tuesday,4,N,,Podzim,42,2000,10,17
20001018,2000-10-18,Wednesday,4,N,,Podzim,42,2000,10,18
20001019,2000-10-19,Thursday,4,N,,Podzim,42,2000,10,19
20001020,2000-10-20,Friday,4,N,,Podzim,42,2000,10,20
20001021,2000-10-21,Saturday,4,N,,Podzim,42,2000,10,21
20001022,2000-10-22,Sunday,4,N,,Podzim,42,2000,10,22
20001023,2000-10-23,Monday,4,N,,Podzim,43,2000,10,23
20001024,2000-10-24,Tuesday,4,N,,Podzim,43,2000,10,24
20001025,2000-10-25,Wednesday,4,N,,Podzim,43,2000,10,25
20001026,2000-10-26,Thursday,4,N,,Podzim,43,2000,10,26
20001027,2000-10-27,Friday,4,N,,Podzim,43,2000,10,27
20001028,2000-10-28,Saturday,4,Y,Independent Czechoslovak State Day,Podzim,43,2000,10,28
20001029,2000-10-29,Sunday,4,N,,Podzim,43,2000,10,29
20001030,2000-10-30,Monday,4,N,,Podzim,44,2000,10,30
20001031,2000-10-31,Tuesday,4,N,,Podzim,44,2000,10,31
20001101,2000-11-01,Wednesday,4,N,,Podzim,44,2000,11,1
20001102,2000-11-02,Thursday,4,N,,Podzim,44,2000,11,2
20001103,2000-11-03,Friday,4,N,,Podzim,44,2000,11,3
20001104,2000-11-04,Saturday,4,N,,Podzim,44,2000,11,4
20001105,2000-11-05,Sunday,4,N,,Podzim,44,2000,11,5
20001106,2000-11-06,Monday,4,N,,Podzim,45,2000,11,6
20001107,2000-11-07,Tuesday,4,N,,Podzim,45,2000,11,7
20001108,2000-11-08,Wednesday,4,N,,Podzim,45,2000,11,8
20001109,2000-11-09,Thursday,4,N,,Podzim,45,2000,11,9
20001110,2000-11-10,Friday,4,N,,Podzim,45,2000,11,10
20001111,2000-11-11,Saturday,4,N,,Podzim,45,2000,11,11
20001112,2000-11-12,Sunday,4,N,,Podzim,45,2000,11,12
20001113,2000-11-13,Monday,4,N,,Podzim,46,2000,11,13
20001114,2000-11-14,Tuesday,4,N,,Podzim,46,2000,11,14
20001115,2000-11-15,Wednesday,4,N,,Podzim,46,2000,11,15
20001116,2000-11-16,Thursday,4,N,,Podzim,46,2000,11,16
20001117,2000-11-17,Friday,4,Y,Struggle for Freedom and Democracy Day,Podzim,46,2000,11,17
20001118,2000-11-18,Saturday,4,N,,Podzim,46,2000,11,18
20001119,2000-11-19,Sunday,4,N,,Podzim,46,2000,11,19
20001120,2000-11-20,Monday,4,N,,Podzim,47,2000,11,20
20001121,2000-11-21,Tuesday,4,N,,Podzim,47,2000,11,21
20001122,2000-11-22,Wednesday,4,N,,Podzim,47,2000,11,22
20001123,2000-11-23,Thursday,4,N,,Podzim,47,2000,11,23
20001124,2000-11-24,Friday,4,N,,Podzim,47,2000,11,24
20001125,2000-11-25,Saturday,4,N,,Podzim,47,2000,11,25
20001126,2000-11-26,Sunday,4,N,,Podzim,47,2000,11,26
20001127,2000-11-27,Monday,4,N,,Podzim,48,2000,11,27
20001128,2000-11-28,Tuesday,4,N,,Podzim,48,2000,11,28
20001129,2000-11-29,Wednesday,4,N,,Podzim,48,2000,11,29
20001130,2000-11-30,Thursday,4,N,,Podzim,48,2000,11,30
20001201,2000-12-01,Friday,4,N,,Zima,48,2000,12,1
20001202,2000-12-02,Saturday,4,N,,Zima,48,2000,12,2
20001203,2000-12-03,Sunday,4,N,,Zima,48,2000,12,3
20001204,2000-12-04,Monday,4,N,,Zima,49,2000,12,4
20001205,2000-12-05,Tuesday,4,N,,Zima,49,2000,12,5
20001206,2000-12-06,Wednesday,4,N,,Zima,49,2000,12,6
20001207,2000-12-07,Thursday,4,N,,Zima,49,2000,12,7
20001208,2000-12-08,Friday,4,N,,Zima,49,2000,12,8
20001209,2000-12-09,Saturday,4,N,,Zima,49,2000,12,9
20001210,2000-12-10,Sunday,4,N,,Zima,49,2000,12,10
20001211,2000-12-11,Monday,4,N,,Zima,50,2000,12,11
20001212,2000-12-12,Tuesday,4,N,,Zima,50,2000,12,12
20001213,2000-12-13,Wednesday,4,N,,Zima,50,2000,12,13
20001214,2000-12-14,Thursday,4,N,,Zima,50,2000,12,14
20001215,2000-12-15,Friday,4,N,,Zima,50,2000,12,15
20001216,2000-12-16,Saturday,4,N,,Zima,50,2000,12,16
20001217,2000-12-17,Sunday,4,N,,Zima,50,2000,12,17
20001218,2000-12-18,Monday,4,N,,Zima,51,2000,12,18
20001219,2000-12-19,Tuesday,4,N,,Zima,51,2000,12,19
20001220,2000-12-20,Wednesday,4,N,,Zima,51,2000,12,20
20001221,2000-12-21,Thursday,4,N,,Zima,51,2000,12,21
20001222,2000-12-22,Friday,4,N,,Zima,51,2000,12,22
20001223,2000-12-23,Saturday,4,N,,Zima,51,2000,12,23
20001224,2000-12-24,Sunday,4,Y,Christmas Eve,Zima,51,2000,12,24
20001225,2000-12-25,Monday,4,Y,Christmas Day,Zima,52,2000,12,25
20001226,2000-12-26,Tuesday,4,Y,Second Day of Christmas,Zima,52,2000,12,26
20001227,2000-12-27,Wednesday,4,N,,Zima,52,2000,12,27
20001228,2000-12-28,Thursday,4,N,,Zima,52,2000,12,28
20001229,2000-12-29,Friday,4,N,,Zima,52,2000,12,29
20001230,2000-12-30,Saturday,4,N,,Zima,52,2000,12,30
20001231,2000-12-31,Sunday,4,N,,Zima,52,2000,12,31
20010101,2001-01-01,Monday,1,Y,Independent Czech State Restoration Day,Zima,1,2001,1,1
20010102,2001-01-02,Tuesday,1,N,,Zima,1,2001,1,2
